SUM of Total Inmates in Census since 1997,,,288697,,,,,,,
DMAX number of Inmates Sentenced since 1997,,,573,,,,,,,
DAVERAGE number of Inmates in Census in 2014,,,247.8085837,,,,,,,
DVARP of Other Unsentenced Inmates since 1997,,,318.0657297,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Facility Name,Year,Census,Sentenced,Civil,Federal,Technical Parole Violators,State Readies,Other Unsentenced,Boarded Out,Boarded In
Hamilton County Penitentiary,2012,3,1,0,0,0,0,2,0,0
Herkimer County Penitentiary,2012,26,4,0,0,1,0,21,44,0
Jefferson County Penitentiary,2012,133,22,1,0,5,2,103,24,0
Lewis County Penitentiary,2012,30,8,1,4,0,1,16,0,2
Livingston County Penitentiary,2012,114,31,0,9,6,2,66,0,10
Madison County Penitentiary,2012,98,39,4,7,4,1,43,0,2
Monroe County Correctional Facility,2012,372,263,1,0,1,0,108,0,0
Monroe County Penitentiary,2012,969,161,1,50,65,26,666,1,0
Montgomery County Penitentiary,2012,139,32,2,21,5,2,77,0,8
Nassau County Correctional Facility,2012,1490,209,0,102,24,10,1146,11,86
Niagara County Penitentiary,2012,451,106,0,107,14,11,213,0,0
Oneida County Penitentiary,2012,471,148,0,37,25,8,253,0,47
Onondaga County Correctional Facility,2012,497,350,6,75,46,0,20,13,6
Onondaga County Penitentiary,2012,622,24,3,2,2,12,579,6,21
Ontario County Penitentiary,2012,198,78,1,2,8,4,105,0,0
Orange County Penitentiary,2012,594,121,5,138,38,8,284,3,7
Orleans County Penitentiary,2012,78,27,0,0,4,1,45,2,5
Oswego County Penitentiary,2012,158,50,3,0,10,4,91,30,0
Otsego County Penitentiary,2012,79,25,0,0,3,1,50,0,1
Putnam County Penitentiary,2012,107,15,1,2,2,1,87,6,12
Rensselaer County Penitentiary,2012,425,90,9,80,26,5,215,1,116
Rockland County Penitentiary,2012,238,46,0,1,9,3,179,2,0
Saratoga County Penitentiary,2012,156,57,3,0,8,2,86,0,0
Schenectady County Penitentiary,2012,311,54,3,2,32,4,216,3,0
Schoharie County Penitentiary,2012,0,0,0,0,0,0,0,26,0
Schuyler County Penitentiary,2012,18,8,0,0,1,0,9,5,1
Seneca County Penitentiary,2012,79,22,1,13,3,1,40,1,3
Steuben County Penitentiary,2012,190,39,1,40,9,2,99,1,1
St Lawrence County Penitentiary,2012,156,46,0,0,6,2,102,2,3
Suffolk Correctional Facility - Riverhead,2012,975,245,7,4,38,17,664,102,7
Suffolk Correctional Facility - Yaphank,2012,592,188,6,0,37,0,360,0,0
Sullivan County Penitentiary,2012,154,36,0,0,10,3,106,1,0
Tioga County Penitentiary,2012,85,29,1,19,4,1,31,1,6
Tompkins County Penitentiary,2012,83,28,0,0,4,2,48,7,0
Ulster County Penitentiary,2012,350,99,0,2,22,11,216,1,27
Warren County Penitentiary,2012,148,41,3,0,10,3,90,0,15
Washington County Penitentiary,2012,109,22,2,5,8,2,70,0,15
Wayne County Penitentiary,2012,115,41,0,10,5,3,56,8,14
Westchester Annex,2012,119,45,0,11,1,1,62,0,2
Westchester Penitentiary,2012,778,155,0,144,38,8,434,3,11
Westchester Pen,2012,567,220,0,46,21,4,275,0,0
Wyoming County Penitentiary,2012,64,22,0,0,3,1,37,2,3
Yates County Penitentiary,2012,49,11,0,9,3,1,24,0,0
Albany County Penitentiary,2011,622,129,0,60,37,25,372,0,9
Allegany County Penitentiary,2011,132,23,1,66,0,0,41,0,3
Broome County Penitentiary,2011,464,91,0,25,13,10,326,3,8
Cattaraugus County Penitentiary,2011,127,45,0,14,4,2,62,0,0
Cayuga County Penitentiary,2011,192,57,2,48,7,2,76,0,0
Chautauqua County Penitentiary,2011,272,55,0,53,12,1,150,0,0
Chemung County Penitentiary,2011,162,74,0,1,14,2,72,1,0
Chenango County Penitentiary,2011,104,30,1,20,2,1,50,0,6
Clinton County Penitentiary,2011,207,69,0,40,10,3,86,0,1
Columbia County Penitentiary,2011,105,11,1,4,4,1,85,0,15
Cortland County Penitentiary,2011,61,14,1,0,4,1,39,3,0
Delaware County Penitentiary,2011,63,24,2,0,3,1,33,0,5
Dutchess County Penitentiary,2011,253,54,6,0,12,4,177,158,0
Erie County Correctional Facility,2011,749,284,0,0,46,0,420,0,0
Erie County Penitentiary,2011,483,93,2,22,44,13,309,0,0
Erie County Yankee Compound,2011,65,65,0,0,0,0,0,0,0
Essex County Penitentiary,2011,78,16,0,33,2,1,27,0,5
Essex County Sheriff,2011,0,0,0,0,0,0,0,0,0
Franklin County Penitentiary,2011,112,32,1,0,4,0,75,5,0
Fulton County Penitentiary,2011,99,33,2,0,7,1,56,0,15
Genesee County Penitentiary,2011,71,21,2,2,5,1,39,10,2
Greene County Penitentiary,2011,51,12,1,0,3,2,34,27,0
Hamilton County Penitentiary,2011,3,2,0,0,0,0,1,0,0
Herkimer County Penitentiary,2011,29,5,1,0,1,1,21,28,0
Jefferson County Penitentiary,2011,141,29,1,0,6,2,103,30,0
Lewis County Penitentiary,2011,32,4,1,7,0,1,19,0,3
Livingston County Penitentiary,2011,90,31,0,0,6,2,51,13,8
Madison County Penitentiary,2011,90,38,5,9,2,1,36,0,1
Monroe County Correctional Facility,2011,359,255,0,0,6,0,97,0,9
Monroe County Penitentiary,2011,999,196,1,77,64,22,639,6,4
Montgomery County Penitentiary,2011,138,32,3,9,3,3,87,1,14
Nassau County Correctional Facility,2011,1546,240,1,123,17,13,1152,11,88
Niagara County Penitentiary,2011,438,114,1,87,21,16,199,0,1
Oneida County Penitentiary,2011,435,172,0,28,14,7,213,0,28
Onondaga County Correctional Facility,2011,465,322,6,84,43,0,11,23,1
Onondaga County Penitentiary,2011,642,28,2,5,3,14,589,1,35
Ontario County Penitentiary,2011,196,83,0,2,10,6,96,0,0
Orange County Penitentiary,2011,578,129,7,122,34,9,276,1,5
Orleans County Penitentiary,2011,78,28,0,0,5,0,44,1,3
Oswego County Penitentiary,2011,157,58,2,0,7,4,85,10,0
Otsego County Penitentiary,2011,68,23,0,0,2,1,42,1,0
Putnam County Penitentiary,2011,116,15,2,8,2,1,87,2,4
Rensselaer County Penitentiary,2011,377,87,7,61,18,4,200,0,112
Rockland County Penitentiary,2011,245,48,0,1,9,2,184,2,0
Saratoga County Penitentiary,2011,150,50,3,0,7,2,88,0,0
Schenectady County Penitentiary,2011,317,52,3,3,27,6,226,2,0
Schoharie County Penitentiary,2011,27,9,1,3,0,1,13,8,7
Schuyler County Penitentiary,2011,19,10,0,0,1,0,8,2,0
Seneca County Penitentiary,2011,78,23,1,22,2,1,30,0,1
Steuben County Penitentiary,2011,178,38,1,48,7,2,82,1,2
St Lawrence County Penitentiary,2011,139,34,0,0,5,2,98,0,4
Suffolk Correctional Facility - Riverhead,2011,1005,235,7,3,41,32,688,157,9
Suffolk Correctional Facility - Yaphank,2011,597,184,4,0,38,0,371,0,0
Sullivan County Penitentiary,2011,158,40,0,0,10,2,106,3,0
Tioga County Penitentiary,2011,85,31,1,14,5,1,34,0,3
Tompkins County Penitentiary,2011,82,33,0,0,3,2,44,4,0
Ulster County Penitentiary,2011,329,100,0,3,20,8,197,0,28
Warren County Penitentiary,2011,152,42,2,0,10,3,95,1,14
Washington County Penitentiary,2011,95,30,2,4,8,3,49,0,10
Wayne County Penitentiary,2011,128,50,0,18,10,2,49,6,2
Westchester Annex,2011,32,10,0,3,0,0,18,0,0
Westchester Penitentiary,2011,870,193,0,154,37,9,477,6,6
Westchester Pen,2011,563,213,0,48,19,5,278,0,0
Wyoming County Penitentiary,2011,67,27,0,0,3,1,37,4,4
Yates County Penitentiary,2011,53,15,0,10,2,1,25,0,0
Albany County Penitentiary,2010,721,148,0,102,35,20,417,0,23
Allegany County Penitentiary,2010,141,22,1,66,0,0,52,0,3
Broome County Penitentiary,2010,455,100,0,25,14,8,306,0,9
Cattaraugus County Penitentiary,2010,110,36,0,16,5,2,51,0,0
Cayuga County Penitentiary,2010,184,51,3,51,5,3,71,0,0
Chautauqua County Penitentiary,2010,281,56,0,59,11,2,153,0,0
Chemung County Penitentiary,2010,181,80,0,0,15,2,84,0,0
Chenango County Penitentiary,2010,99,38,1,8,1,1,51,0,10
Clinton County Penitentiary,2010,209,73,1,45,7,2,81,0,6
Columbia County Penitentiary,2010,107,22,1,10,2,1,71,0,10
Cortland County Penitentiary,2010,64,19,2,0,4,1,38,5,0
Delaware County Penitentiary,2010,71,28,2,1,5,1,33,0,5
Dutchess County Penitentiary,2010,266,50,5,1,13,3,195,115,2
Erie County Correctional Facility,2010,775,407,0,0,31,0,337,0,0
Erie County Penitentiary,2010,480,92,1,8,46,10,322,0,0
Erie County Yankee Compound,2010,80,80,0,0,0,0,0,0,0
